k,burst,wallet,ok,sendMs,miningMs,totalMs,gasUsed,blockNumber
25,2,0xb536E4FdF6542513BF32FCDc3Be59B2DEDe4ea81,1,1082.59,9034.15,10116.74,3084412,44401084
25,2,0x7944216BE15297371F32E04A2A9Dc7a2B7E856De,1,1302.23,9001.60,10303.83,3084424,44401084
25,2,0xada303f0B657E05B7565FEeB6895be2f72b41a86,1,1002.39,9469.95,10472.34,3084424,44401084
25,2,0xFb6922D1Eb51178a87E89b13633b40D754654552,1,1046.27,9604.02,10650.29,3084424,44401084
25,2,0x341949BA61696B97873959903832b39157C20852,1,1235.16,9587.90,10823.06,3084412,44401085
25,2,0x5f477249301E26761388972513798A4D3511155e,1,1458.85,9682.47,11141.32,3084424,44401085
25,2,0x88fcA509b50874fe638eeaB02B173cf1689F2835,1,1159.00,10150.68,11309.67,3084412,44401085
25,2,0x52fddd283Af97cd8F511fc30d49A0b06E4648bA0,1,1379.31,10185.01,11564.32,3084424,44401085
25,2,0xDFB11e087Ef8495d61be5028e1a720783D71D9AB,1,1079.03,10663.10,11742.14,3084424,44401085
25,2,0x46c078872B5c5c38dBA3e9E3f049dc341307524d,1,1265.36,10489.54,11754.90,3084424,44401085
25,2,0xA37d54a0391A317281d782a12F6D2375e9BDAA3f,1,1489.12,10483.41,11972.53,3084424,44401086
25,2,0x01a698965cd5415b6F02d76B405DA0558Be82cEa,1,1189.42,10782.64,11972.06,3084424,44401086
25,2,0x8dd2E72B27241fb2aB37DEBa84A501B08aFD29eb,1,1409.25,10712.11,12121.36,3084424,44401086
25,2,0xAED75eAE61C8D62BA917D40E120A5d8b9Ed13A6E,1,1110.12,11015.41,12125.53,3084424,44401086
50,0,0xA9F4f81ed7CAf02c43834B6984dcC15ed3FF7912,1,1758.87,14367.28,16126.15,3084424,44401092
50,0,0x44C5Df7465E2ADCE50eAD2e6773d14bd391d12Aa,1,1457.47,14825.46,16282.93,3084424,44401092
50,0,0xb61F6ddEe17A84C415E64F2934A9721e1d20074E,1,1687.94,14732.28,16420.21,3084424,44401092
50,0,0xB0FB545D5B4E86Ae0a6C92F6C670511F7930eEfa,1,1387.65,15327.33,16714.97,3084424,44401092
50,0,0x8b32a4195Fe6b036AcE5b1fF93512a4e11B8aa1b,0,,,16720.01,,
50,0,0x52c02e89991d37b4E5EDC88232d201a77E250F4e,0,,,16696.05,,
50,0,0x1472868c459656bEa7De8Bdb8644Ad21E7685C13,0,,,16735.61,,
50,0,0xC98b6A7BB52BCf7D92e003604d843C6C1d1e9a83,0,,,16734.39,,
